,sentence
2118,১৯৮৬ সালে আইন বিষয়েও স্নাতক ডিগ্রি অর্জন করেন
2119,২০১৩ সালে তিনি জেলা আওয়ামী লীগের সভাপতি নির্বাচিত হন
2120,তিনি এইচএসসি ডিগ্রি অর্জন করেছেন
2121,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2122,বেণী পুতুল বেণী পুতুল পূর্ব মেদিনীপুরের লৌকিক শিল্পের অনন্য় নিদর্শন
2123,পূর্ব মেদিনীপুরের পদ্মতমালি গ্রামে বেনি পুতুল নাচের শিল্পীদের বাসস্থান
2124,এই পুতুলকে অনকে হাত নাচনা পুতুলও বলেন
2125,অতীতে শিল্পীরা গ্রামে গ্রামে এই পুতুল বিক্রি করে বেড়াতেন
2126,বেনিপুতুলের কৃতকৌশল লোকপ্রযুক্তির এক সার্থক উদাহরণ
2127,তাতে ঘুগুর বাধা হয়
2128,পুতুল নাচ  শিল্পীরা পুতুলকে হাতের কারসাজিতে নাচান
2129,তিনি স্নাতকোত্তর ডিগ্রি অর্জন করেছেন
2130,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2131,তিনি স্নাতক ডিগ্রি অর্জন করেছেন
2132,তিনি তৃতীয়বার সংসদ সদস্য নির্বাচিত হয়েছেন
2133,তালপাতার সিপাই তালপাতার সিপাই শিশু মনের চিত্তাকর্ষক খেলনা
2134,পশ্চিমবঙ্গের বর্ধমান জেলায় এই খেলনা উদ্ভাব
2135,অতীতের জনপ্রিয় এই খেলনাটি অধুনা বিলুপ্তপ্রায়
2136,মূলত আজও মেলায় দেখা যায়
2137,এর ভিতরে বাঁশের কঞ্চি আটকানো থাকে
2138,তার পুতুলের একদিকে নারী অন্য দিকে পুরুষ
2139,তিন্নি একে সাহেব ও মেম বলেন
2140,টুসু পুতুল বাঁকুড়ার টুসু পুতুল অন্যতম লৌকিক পুতুল
2141,পুরুলিয়ায় পৌষসংক্রান্তিতে টুসু উৎসব হয়
2142,মকর সংক্রান্তির দিন ভোরবেলায় টুসু ভাসান হয়
2143,টুসুর পুতুল দেখতে অনেকটা বউ পুতুলের মতো
2144,রঙিন মার্বেল পেপার দিয়ে এটার অলংকরণ করা হয়
2145,তার পিতা জর্জ ককতো এবং মাতা ইউজিন লেকোমতে
2146,জর্জ আইনজীবী ও আনাড়ি চিত্রশিল্পী ছিলেন
2147,ককতোর যখন নয় বছর বয়স তখন তিনি আত্মহত্যা করেন
2148,১৯০০ থেকে ১৯০৪ সালে ককতো লিস কন্দোর্সে পড়াশুনা করেন
2149,পনের বছর বয়সে তিনি বাড়ি থেকে পালিয়ে যান
2150,দ্য ফ্রিভেলাস প্রিন্স  তার দ্বিতীয় কবিতার সংকলনেরও নাম
2151,তার সমাধি ফলকে লেখা রয়েছে  আমি আপনাদের সাথেই রয়েছি
2152,হিঙ্গুল পুতুল হিঙ্গুল পুতুল বা হিঙুল পুতুল বাঁকুড়ার বিশেষ পুতুল
2153,হিঙ্গুল হলো বিশেষ ধরনের লাল রং
2154,এই পুতুল গুলো হিঙ্গুল রঙে করা হয় বলে এটিকে  হিঙ্গুল পুতুল  বলা হয়
2155,এই পুতুল গুলোর আঙ্গুলগুলো সম আকৃতির হয়
2156,মূলত কাঁচা মাটির পুতুলগুলো দেখতে খুবই আকর্ষনীয়
2157,নানা রঙের ফ্রক পরানো পুতুল গুলোর মাথায় টুপি পরানো থাকে
2158,মূলত দুর্গা পূজা  জন্মাষ্টমী ও টুসু উৎসবের সময় বিক্রি হয়
2159,এর সদর দপ্তর কবি ভবন ধানমন্ডি  ঢাকা
2160,এই ৬টি গ্রাম পঞ্চায়েত বাগনান ১ উন্নয়ন ব্লকের অংশ ছিল
2161,বাগনান বিধানসভা কেন্দ্র ২৬ নং উলুবেড়িয়া লোকসভা কেন্দ্রের অন্তর্গত
2162,অস্ট্রেলিয়া ক্রিকেট দলের অন্যতম সদস্য ছিলেন তিনি
2163,দলে তিনি মূলতঃ বামহাতি চায়নাম্যান বোলিংয়ে পারদর্শিতা দেখিয়েছেন
2164,পাশাপাশি বামহাতে ব্যাটিংয়ে দক্ষতা প্রদর্শন করেছেন জর্জ ট্রাইব
2165,মাত্র ১৩ খেলায় অংশ নিয়ে ১৯ ২৫ গড়ে ৮৬ উইকেট দখল করেন তিনি
2166,পাশাপাশি আক্রমণধর্মী বামহাতি ব্যাটিংয়ের অধিকারী ছিলেন
2167,সচরাচর ছয় কিংবা সাত নম্বরে ব্যাটিংয়ে নামতেন
2168,সমগ্র প্রথম শ্রেণীর খেলোয়াড়ী জীবনে সাতটি শতরানের ইনিংস রয়েছে তাঁর
2169,সেন্ট্রাল ল্যাঙ্কাশায়ার লীগে খেলার জন্য মিলরো দলের সাথে চুক্তিবদ্ধ হন
2170,প্রথম মৌসুমেই ১৩৬ উইকেট দখল করেন
2171,পরেরবছর ১৪৮ উইকেট নিয়ে রেকর্ড গড়েন
2172,বোঙা হাতি বোঙা হাতি বাঁকুড়ার অন্যতম মাটির পুতুলের একটি লৌকিক নিদর্শন
2173,বাঁকুড়া জেলা মূলত সাঁওতাল অধ্যুষিত
2174,সাঁওতাল দেবতা সিং বোঙার উদ্যেশ্যে এই হাতি উত্সর্গ করা হয়
2175,এই মূর্তি খুবই সুষম এবং শিল্পীর শিল্পকর্ম সুনিপুন
2176,গোলাকার আকারের জন্য এই হাতি বিখ্যাত
2177,তিনি  সাবিহা মুসা  নামেও পরিচিত
2178,২০১৬ এর হিসেবে এর আনুমানিক জনসংখ্যা ৪৪ ২৯১জন
2179,এটি উত্তর পশ্চিম অঞ্চল থেকে সংক্ষিপ্ত হয়
2180,যদিও সার্ভে সম্পন্ন হয়নি
2181,এটি আয়তন নিয়ে বিস্তৃত
2182,বহিঃসংযোগ   বিষয়শ্রেণী কানাডার প্রদেশ
2183,রাকেশ শর্মা হলেন একমাত্র ভারতীয় নাগরিক যিনি মহাকাশে ভ্রমণ করেছেন
2184,তিনি হায়দরাবাদের সেন্ট জর্জেস গ্রামার স্কুলে অধ্যয়ন করেন
2185,নিজাম কলেজ থেকে তিনি স্নাতক হন
2186,মাত্র ১৮ বছর বছরে তিনি এয়ার ফোর্সের একজন ক্যাডেট হিসেবে যোগদান করেন
2187,রাকেশ শর্মা হলেন ভারতের প্রথম নাগরিক যিনি মহাকাশে যাত্রা করেন
2188,তাঁর কাজ ছিল প্রধানত বায়ো মেডিসিন এবং রিমোট সেন্সিং বিষয়ে
2189,রাকেশ শর্মা অবসর নেওয়ার সময় উইং কম্যান্ডার পদে ছিলেন
2190,তিনি লাইট কমব্যাট এয়ারক্র্যাফ্ট  তেজাস  এর সঙ্গেও যুক্ত ছিলেন
2191,তার জন্ম ও বেড়ে ওঠা নিউ ইয়র্ক সিটিতে
2192,পরবর্তীতে তিনি বেশ কয়েকটি উল্লেখযোগ্য চলচ্চিত্রে অভিনয় করেন
2193,তিনি  কলিন প্রাইস  নামেও পরিচিত ছিলেন
2194,লেনের পিতা বার্টন ইউজিন লেন ছিলেন ম্যানহাটনের মঞ্চ প্রশিক্ষক
2195,যখন লেনের বয়স ১৩ বছর  তার পিতামাতা আলাদা হয়ে যান
2196,লেনের মা মেক্সিকো চলে যান এবং বিবাহ বিচ্ছেদের নোটিশ পাঠান
2197,তাদের দীর্ঘমেয়াদী বিচ্ছেদ ১৯৯৪ সালে বিবাহ বিচ্ছেদে রূপ ধারণ করে
2198,জন্ম ও পারিবারিক পরিচিতি  রওশন আরা মান্নান কুমিল্লায় জন্মগ্রহণ করেন
2199,জন্ম ও পারিবারিক পরিচিতি  মেরিনা রহমান কুমিল্লায় জন্মগ্রহণ করেন
2200,অমূল্যচরণ বসু অমূল্যচরণ বসু  ১৮৬২   ১৮৯৮  একজন প্রখ্যাত ডাক্তার ছিলেন
2201,কলকাতা মেডিকেল স্কুল প্রতিষ্ঠার তিনি প্রধান উদ্যোক্তা ছিলেন
2202,অমূল্যচরণ বসু ১৮৬২ খ্রীষ্টাব্দে কলকাতায় জন্মগ্রহণ করেন
2203,তিনি কলকাতা বিশ্ববিদ্যালয়ের একজন কৃতী ছাত্র ছিলেন
2204,১৮৮৬ খ্রীষ্টাব্দে তিনি এমবি পরীক্ষায় উত্তীর্ণ হন
2205,তিনি দেশীয় ওষুধ বিলাতি উপায়ে প্রস্তুত করবার প্রথম পথপ্রদর্শক ছিলেন
2206,১৮৯৮ খ্রীষ্টাব্দে তাঁর মৃত্যু হয়
2207,তাঁদের মোটা শরীরের তলায়স্তম্ভের মত পা আছে
2208,তাঁদের বড় কান দিয়ে শরীর থেকে তাপ ক্ষয় হয়
2209,উপরের ঠোঁট আর নাক জুড়েই শুঁড় হয়
2210,শুঁড় এক হাতের মত কাজ করে  ধ্বনি বাড়ায়  আর স্পর্শ করতে সাহায্য় করে
2211,আফ্রিকান হাতির শুঁড়ে দুটি ঠোঁট থাকে  আর এশীয় হাতির শুঁড়ে মাত্র একটি
2212,আজ পর্যন্ত সবচেয়ে বড় হাতির উচ্চতার হল ৪ মিটার আর ওজন ১০ ০০০ কেজি
2213,দাঁত  হাতিহের চার পেষক দাঁত থাকে  এক একের ওজন আর মাপ
2214,এশীয় হাথীদের থেকে আফ্রিকান হাতিদের কম এনামেল প্লেট আছে
2215,তাঁদের ওজন আর পরিমাণ হতে পারে
2216,পুরুষ আর স্ত্রী আফিকান হাতিদের গজদন্ত থাকে
2217,তিনি দক্ষিণ পাঞ্চাল ভূমির রাজা ছিলেন
2218,তার রাজধানী কাম্পিল্য হিসেবে পরিচিত ছিল
2219,তার পিতার নাম ছিল প্রীশতা
2220,তিনি একজন মহারথী ছিলেন
2221,তিনি স্নাতক ডিগ্রি অর্জন করেছেন
2222,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2223,তিনি বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় থেকে স্নাতক ডিগ্রি অর্জন করেছেন
2224,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2225,তিনি স্নাতক ডিগ্রি অর্জন করেছেন
2226,তিনি দ্বিতীয় সংসদ সদস্য নির্বাচিত হয়েছেন
2227,উন্নয়নশীল অন্যান্য দেশের ন্যায় বাংলাদেশের আবাসন সমস্যা প্রকট
2228,জনসংখ্যা বৃদ্ধির সঙ্গে আবাসনের চাহিদা বাড়ছে
2229,বাড়তি এ চাহিদা পূরণে কৃষিজমির ওপর চাপ বাড়ছে
2230,ফলে কৃষি জমি দ্রুত কমে যাচ্ছে
2231,১৯৬৩ সালে সদর দফতর ঢাকায় স্থানান্তরের উদ্যোগ গৃহীত হয়
2232,তৎকালে কর্পোরেশনের Authorized Capital ছিল মাত্র ১০ ০০  দশ  কোটি টাকা
2233,পরিশোধিত বা Subscribed মুলধনের পরিমাণ ছিল ৫ ০০  পাঁচ  কোটি টাকা
2234,জোনাল অফিসগুলো নিয়ন্ত্রণকারী ও তদারককারী অফিস হিসেবে কাজ করতো
2235,এ চারটি জোনও কর্পোরেশন ভবনে অবস্থিত ছিল
2236,তিনি এলএলবি ডিগ্রি অর্জন করেছেন
2237,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2238,তিনি স্নাতক ডিগ্রি অর্জন করেছেন
2239,তিনি দ্বিতীয়বার সংসদ সদস্য নির্বাচিত হয়েছেন
2240,তিনি স্নাতকোত্তর ডিগ্রি অর্জন করেছেন
2241,তিনি চতুর্থবার সংসদ সদস্য নির্বাচিত হয়েছেন
2242,ইংরেজিতে   নামের এই যন্ত্রটি  ঢেকি কল  নামেই অধিক পরিচিত
2243,তারপর কাশিমবাজার মহারাজা এস্টেটে ৩ বছর চাকরি করেন
2244,কিন্তু আবিষ্কারের নেশা চাকরির ধরাবাঁধা নিয়মে আবদ্ধ রাখতে পারেনি তাঁকে
2245,এ সময় ফটোগ্রাফির ব্যবসা শুরু করেন তিনি
2246,পরে করেন বিড়ির ব্যবসা
2247,বিড়ির লেবেল ছাপানোর জন্য আবিষ্কার করেন কাঠ দিয়ে তৈরি পা চালিত প্রেস
2248,এরপর উলিপুর বাজারে ছোট একটি লেদ মেশিন বসিয়ে শুরু করেন নতুন ব্যবসা
2249,পরে কাঠের উন্নত ট্রেডল প্রেস তৈরি করে বাজারজাতও করেন
2250,কিছুদিন বাদে পরীক্ষামূলকভাবে স্টিম ইঞ্জিন উদ্ভাবন করে চমকে দেন
2251,ধান সিদ্ধ  ধান ভানাসহ নানা কাজে ব্যবহার করা যায় এই ইঞ্জিন
2252,তিনি এইচএসসি পাশ করেছেন
2253,তিনি চতুর্থবার সংসদ সদস্য নির্বাচিত হয়েছেন
2254,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2255,তিনি স্নাতকোত্তর ডিগ্রি অর্জন করেছেন
2256,তিনি দ্বিতীয়বার সংসদ সদস্য নির্বাচিত হয়েছেন
2257,তিনি এমবিবিএস ডিগ্রি অর্জন করেছেন
2258,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2259,তিনি স্নাতকোত্তর ডিগ্রি অর্জন করেছেন
2260,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2261,দক্ষিণ আফ্রিকা ক্রিকেট দলের অন্যতম সদস্য তিনি
2262,দলে তিনি মূলতঃ ডানহাতি ফাস্ট বোলার হিসেবে দায়িত্ব পালন করছেন
2263,খেলায় তিনি ম্যান অব দ্য ম্যাচের পুরস্কারে ভূষিত হন
2264,খেলায় তিনি ৭ ৮৭ বোলিং পরিসংখ্যান দাঁড় করান
2265,তন্মধ্যে দ্বিতীয় ইনিংসে ৬ ৩৯ বোলিং পরিসংখ্যান গড়েন
2266,এরফলে তার দল ১৩৫ রানে ভারতকে হারিয়েছিল
2267,তিনি এলএলবি ডিগ্রি অর্জন করেছেন
2268,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2269,জন্ম ও পারিবারিক পরিচিতি  মাহজাবীন মোরশেদ চট্টগ্রামে জন্মগ্রহণ করেন
2270,তিনি স্নাতকোত্তর ডিগ্রি অর্জন করেছেন
2271,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2272,প্রারম্ভিক জীবন  নদিয়া জেলার গোকুলনগরে হেমচন্দ্র জন্মগ্রহন করেন
2273,কলেজ জীবন থেকেই কবিতা লিখতেন
2274,সাহিত্য  কলকাতায়  বাগচী এন্ড সন্স  প্রকাশনা সংস্থা খোলেন হেমচন্দ্র
2275,একাধিক কবি ও সাহিত্যিকের বই বের করেছিলেন
2276,তার কাব্যগ্রন্থগুলি হল  দ্বীপান্বিতা    তীর্থপথে    মানসবিরহ  ইত্যাদি
2277,এই ৭টি গ্রাম পঞ্চায়েত ডোমজুর উন্নয়ন ব্লকের অংশ ছিল
2278,ডোমজুর বিধানসভা কেন্দ্র ২৭ নং শ্রীরামপুর লোকসভা কেন্দ্রের অন্তর্গত
2279,ডোমজুর ব্লকের কিছুটা অংশ হাওড়া লোকসভা কেন্দ্রের অন্তর্গত
2280,তার স্বামী নুরুল হুদা চৌধুরী ২০১৫ সালে মৃত্যুবরণ করেন
2281,যাইতুন  গাজা যাইতুন  জলপাই  একটি দক্ষিণে অবস্তিত জেলা
2282,শিলং থাকার সময় বাংলা পত্রিকা চালাতেন তিনি
2283,এসয় তাকে আবার জেলে যেতে হয়
2284,হেমন্তকুমার পালিয়ে ফ্রান্সে চলে যান
2285,সাংবাদিকতা  বিখ্যাত সাংবাদিক রামানন্দ চট্টোপাধ্যায় ছিলেন তার কাকা
2286,কলকাতায় থাকাকালীন হেমন্তকুমার শনিবারের চিঠিতে লিখতেন
2287,এই পত্রিকার প্রতিষ্ঠাতা সম্পাদক যোগানন্দ দাস ছিলেন তার বন্ধু
2288,দেশে ফিরে চৌরংগী পত্রিকা সম্পাদনা করেছেন তিনি
2289,তার পিতা জেমস ই  চেরিল এবং মাতা ব্লেঞ্চ চেরিল  জন্মনাম  উইলকক্স
2290,তিনি এই প্রস্তাব প্রত্যাখ্যান করেন
2291,১৯২৫ সালে আরভিং অ্যাডলারের সাথে তার বিয়ে হয়
2292,অ্যাডলার ছিলেন শিকাগোর ধন্যাট্য আইনজীবী
2293,এই বিয়েতে তিনি অসন্তুষ্ট ছিলেন এবং ১৯২৮ সালে তাদের বিবাহ বিচ্ছেদ হয়
2294,সু ক্যারলের সাথে তার বন্ধুত্বের কারণে তিনি ক্যালিফোর্নিয়া চলে যান
2295,সেখানে তিনি উইলিয়াম র‍্যান্ডলফ হির্স্টের সাথে পরিচিত হন
2296,হলিউডে ঘুরতে গিয়ে তিনি চার্লি চ্যাপলিনের সাথে পরিচিত হন
2297,চ্যাপলিন একটি বক্সিং ম্যাচে তার পাশে বসেছিলেন
2298,যার একটি হল  ট্রাবল্‌ড ওয়াটার্স   যা তার অভিনীত শেষ চলচ্চিত্র
2299,তিনি ১৯২০ এর দশকের শুরু থেকে তার অভিনয় কর্মজীবন শুরু হয়
2300,কিন্তু পরবর্তীতে চ্যাপলিন আবার চেরিলকে দিয়ে বাকি কাজ শেষ করেন
2301,আননোন চ্যাপলিন  প্রামাণ্যচিত্র উদ্ধৃতি যুক্ত করা হয়
2302,তিনি তার সাথে কাটানো সময়ের অভিজ্ঞতা নিয়ে   নামে একটি বই লিখেন
2303,এটি পঞ্চায়েত রাজ প্রশাসনিক ব্যবস্থার অধীনে গঠিত
2304,২০০৬ সালে এই বিদ্যালয়টি ময়মনসিংহ সদর উপজেলাতে প্রতিষ্ঠিত হয়
2305,দেশটিতে কোন সরকারি পরিবহণ নেই
2306,এই রেলওয়েটি প্রধানত মালবাহী যানবাহন পরিবহণে ব্যবহৃত হয়
2307,উভয় বিরতিস্থানটি এই নগর রাষ্ট্র থেকে দশ মিনিট পদব্রজ দূরে
2308,আন্তর্জাতিক সনাক্তকরণ ফলক স্টিকার হচ্ছে ভি
2309,হোয়াইটহর্স হচ্ছে অঞ্চলটির রাজধানী এবং ইউকনের একমাত্র শহর
2310,ব্যুৎপত্তি  এ অঞ্চলটির নামকরন করা হয় ইউকন নদীর নাম অনুসারে
2311,ভূমি এলাকা নিয়ে  এটির ২০১১ সালে জনসংখ্যার ঘনত্ব
2312,বিশ্ব জুড়ে পুতুল তৈরি হলেও বাংলার পুতুলের কিছু পৃথক বিশেষত্ব আছে
2313,এই বিশেষত্ব বাংলার পুতুলকে বাকি স্থানের পুতুলের থেকে আলাদা করেছে
2314,সেগুলোই বাংলার পুতুল শিল্পকে প্রাচীনত্ব দিয়েছে
2315,প্রাপ্ত সামগ্রীর মধ্যে নারী মূর্তি গুলো অন্যতম
2316,কাঁঠালিয়ার পুতুল বাংলার সমাজ জীবনের অন্যতম নির্দেশক পুতুল
2317,এছাড়া রানি পুতুল ঐতিহাসিক ঘটনার সাক্ষী
2318,আবার শিবের মুখোশ লৌকিক সংস্কৃতিকে চিত্রিত করেছে
2319,উপজীব্য  বিভিন্ন বিষয়কে উল্লেখ করে বাংলায় পুতুল তৈরি হয়
2320,বাংলার শ্রমজীবি মানুষের প্রতীক হিসাবে বাংলার পুতুল তৈরি হয়
2321,যা বাংলার সমাজজীবনকে প্রতিভাত করে
2322,কোন কোন নৃ গোষ্ঠীর ভাষা ও সাংস্কৃতিক উপাদান গুলো একবারেই হারিয়ে গেছে
2323,এটি গাজোল শহরে অবস্থিত
2324,এই বিদ্যালয়টি ১৯৪২ সালে প্রতিষ্ঠিত হয়
2325,চ্যাপলিনের সাথে তার কয়েকটি চলচ্চিত্র তিনি রচনা ও পরিচালনাও করেন
2326,নরম্যান্ডের ভৃত্য নরম্যান্ডের পিস্তল দিয়ে ডাইনসকে গুলি করেছিল
2327,তিনি কোন অপরাধের সন্দেহভাজন ছিলেন না
2328,তার জন্মনাম আমেবল এথেলরেইড নরম্যান্ড বা মেবল এথেলরেইড নরম্যান্ড
2329,নরম্যান্ডের মাতা ম্যারি  মিনি  ড্রুরি রোড আইল্যান্ডের অধিবাসী ছিলেন
2330,তিনি আইরিশ বংশোদ্ভূত এবং তার পিতা ফরাসি কানাডীয়
2331,এছাড়া তিনি স্ট্যান লরেল পরিচালিত  র‍্যাগেডি রোজ  এ অভিনয় করেন
2332,লেখক রবের গিরুর মতে  টেলর গভীরভাবে নরম্যান্ডে প্রেমে পড়েন
2333,এটি বাংলাদেশের প্রথম লাইভ স্ট্রিমিং অ্যাপ বা ওয়েবসাইট
2334,বায়োসকোপ অ্যান্ড্রয়েড অ্যাপ্লিকেশন বর্তমানে বাংলাদেশ এ পাওয়া যায়
2335,গ্লোবাল লঞ্চের পরে বিশ্বব্যাপী দর্শকদের কাছে পুরো ক্যাটালগ উপলব্ধ হবে
2336,ব্যবহারকারী ফেসবুক থেকে সাইন আপ করতে পারেন
2337,হুগলি জেলার ধনেখালি অঞ্চলে এই শাড়ি প্রথম তৈরি হয়
2338,এই শাড়ি জি আই ট্যাগ পেয়েছে
2339,বর্ণনা  ১০০ বাই ১০০ সুতোর কাউন্টের জমিন করা হয়
2340,সাধারণত দেড় থেকে দুই ইঞ্চি চওড়া পাড় হয়
2341,ঐতিহ্য় মেনে এই শাড়ির জমিনের বর্ণ ধূসর
2342,পাড়ের অংশটি সরু তুলনার সরু হয় এবং পাড়ের রং হয় লাল বা কালো
2343,যুদ্ধের ঘটনাটি কিউবার সরকারী মুদ্রা   ৩ কনভার্টিবল পেসোতে বর্ণিত আছে
2344,তিনি স্নাতকোত্তর ডিগ্রি অর্জন করেছেন
2345,তিনি দ্বিতীয়বার সংসদ সদস্য নির্বাচিত হয়েছেন
2346,এই ব্লকটি গাজোল থানার অন্তর্গত
2347,গাজোল এই ব্লকের সদর
2348,ভূগোল  গাজোল অক্ষ দ্রাঘিমাংশে অবস্থিত
2349,তার মধ্যে ১০৬২১৭ জন পুরুষ ও ৮২৭৯৭ জন মহিলা
2350,তিনি স্নাতক ডিগ্রি অর্জন করেছেন
2351,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2352,২০১১ সালে তিনি বেলজিয়ান ইবোনি শু নামক বেলজিয়ান পুরষ্কার পান
2353,তিনি এলএলবি ডিগ্রি অর্জন করেছেন
2354,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2355,তিনি স্নাতক ডিগ্রি অর্জন করেছেন
2356,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2357,ইংল্যান্ড ক্রিকেট দলের অন্যতম সদস্য ছিলেন
2358,দলে তিনি মূলতঃ ডানহাতি ব্যাটসম্যানের দায়িত্ব পালন করতেন
2359,ফলশ্রুতিতে সংক্ষিপ্তকালের জন্য ইংল্যান্ড দলের নিয়মিত সদস্য হন
2360,তবে অপ্রত্যাশিতভাবে কিছুদিন পর ক্রিকেট খেলা ছেড়ে দেন
2361,কাউন্টি ক্রিকেটে অংশগ্রহণ  নিথ গ্রামার স্কুলে অধ্যয়ন করেন তিনি
2362,১৯২৩ সালে সতেরো বছর বয়সে গ্ল্যামারগনের পক্ষে প্রথম খেলতে নামেন
2363,প্রাণোচ্ছল ফিল্ডিং সকলের নজর কুড়ায়
2364,পরের বছর জরিপকারক ও স্থপতি হিসেবে ব্যস্ততম সময় পার করেন
2365,এরফলে মৌসুমের অর্ধেক সময় দলের বাইরে ছিলেন
2366,ঐ বছর কয়েকটি খেলায় গ্ল্যামারগনের পক্ষে কোন সফলতা পাননি
2367,অপটিক কায়াজম মস্তিষ্কের নীচে মুলত হাইপোথ্যালামাসের বরাবর নীচে অবস্থিত
2368,পেরিফেরাল নার্ভাস সিস্টেমে এটি নার্ভ ফ্যাসিকল হিসেবে পরিচিত
2369,একটি কমিশার একই স্তরে দুইটি সেরেব্রাল হেমিস্ফিয়ারকে একত্রিত করে
2370,উদাহরণস্বরুপ পোস্টেরিওর কমিশার এবং কর্পাস ক্যালোসাম
2371,যেমনঃ সেনসরী ডেকাসেশন
2372,এই ব্লকটি চাঁচল থানার অন্তর্গত
2373,চাঁচল এই ব্লকের সদর
2374,ভূগোল  চাঁচল ১   অক্ষ দ্রাঘিমাংশে অবস্থিত
2375,চাঁচল ১ ব্লকের আয়তন ১৬২ ০৮ বর্গ কিলোমিটার
2376,এর মধ্যে ১০৫ ০১৪ জন পুরুষ ও ৯৯ ৭২৬ জন মহিলা
2377,তার মধ্যে ৬২ ৬৯৩ জন পুরুষ ও ৫৩ ০৫৩ জন মহিলা
2378,আফ্রিকা মহাদেশের পতাকা আফ্রিকা মহাদেশের বিভিন্ন পতাকা
2379,জন্ম ও পারিবারিক পরিচিতি  নূরজাহান বেগম মুক্তা চাঁদপুরে জন্মগ্রহণ করেন
2380,তার পিতার নাম আবু জাফর মোঃ মাইনুদ্দিন
2381,শ্যামপুর বিধানসভা কেন্দ্র ২৬ নং উলুবেড়িয়া লোকসভা কেন্দ্রের অন্তর্গত
2382,সিভিল এভিয়েশন অথরিটি এটি পরিচালনা করে আসছে
2383,১৯৭৮ সালে স্কুল টি তাঁদের যাত্রা শুরু করে
2384,অবকাঠামো ও নিয়মাবলি  এই স্কুলটির অবকাঠামো ইংরেজি অক্ষর এইচ  H  এর মত
2385,স্কুলটির সামনে ২০০ মিটার বিশাল খেলার মাঠ আছে
2386,স্কুলটির দুটি শিফট রয়েছে
2387,শিক্ষা  কেজি থেকে দশম শ্রেণির শিক্ষার্থীরা এখানে অধ্যয়ন করে
2388,মানবিক বিভাগ শুধুমাত্র মেয়েদের জন্য
2389,শিক্ষক  এ বিদ্যালয়ে ৫২ জন শিক্ষক বর্তমানে কর্মরত
2390,শিক্ষার্থী  ২৩৬৫ জন শিক্ষার্থী এখানে অধ্যয়ন করে
2391,১১৯০ জন বালক ও ১১৭৫ জন বালিকা রয়েছে
2392,ফলে  তেল এবং প্রাকৃতিক গ্যাস একই সাথে পাওয়া যায়
2393,এগুলোকে ড্রিলিংয়ের মাধ্যমে ট্র্যাপ থেকে নিষ্কাশন করা যেতে পারে
2394,এই ব্লকটি চাঁচল থানার অন্তর্গত
2395,মালতিপুর এই ব্লকের সদর
2396,চাঁচল ২ ব্লকের আয়তন ২০৫ ২২ বর্গ কিলোমিটার
2397,এর মধ্যে ১০৫ ৩৭৪ জন পুরুষ ও ৯৯ ৯৫৯ জন মহিলা
2398,তার মধ্যে ৫৩ ১৮৫জন পুরুষ ও ৪৯ ৯৫৪ জন মহিলা
2399,এ ছাড়া ব্লক টি তে রয়েছে ৩১টি উচ্চবিদ্যালয়  ৮৬টি প্রাথমিক বিদ্যালয়
2400,এটি সার্কেডিয়ান রিদমকে নিয়ন্ত্রণ করে
2401,এই এসচিএন মস্তিষ্কের অন্যান্য অনেক অংশের সাথে আন্তঃক্রিয়া করে
2402,তিনি স্নাতকোত্তর ডিগ্রি অর্জন করেছেন
2403,তিনি স্নাতক ডিগ্রি অর্জন করেছেন
2404,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছেন
2405,কর্মজীবনে তিনি বাংলাদেশ পুলিশের বিভিন্ন ইউনিটে কাজ করেছেন
2406,এছাড়া তিনি দু বার আইজিপি স এক্সাপ্লেরি গুড সার্ভিস ব্যাজ লাভ করেন
2407,এই ৪টি গ্রাম পঞ্চায়েত শ্যামপুর ১ উন্নয়ন ব্লকের অংশ ছিল
2408,কোর্স  ১  প্রাথমিক শিক্ষা বিভাগ  প্রথম শ্রেণি থেকে পঞ্চম শ্রেণি
2409,br  ২  হিফজ বিভাগ
2410,br  ৩  আলিম বিভাগ
2411,শিক্ষা বর্ষ  ১০ শাওয়াল  شوّال  থেকে ১২ শা বান  شعبان পর্যন্ত
2412,নিউজিল্যান্ড ক্রিকেট দলের অন্যতম সদস্য তিনি
2413,দলে তিনি মূলতঃ উইকেট রক্ষক হিসেবে খেলছেন
