,Inflected_sentences
10190,আমার সরকারের টাকায় তৈরি রাস্তা দিয়ে হাঁটলেও যে আমার কথা ছাড়া অন্য কিছু মানা যায় না তা কি বুঝিয়ে দিতে হবে
10191,আমার কী দশা হইবে
10192,দিদি এখন ইন্স্পেক্ট্রেস্ অব স্কুল্স্
10193,শরীরকে ঠান্ডা করতেও
10194,এখন আর সে সুযোগ নাই
10195,ঘড়িয়ালটিকে পুকুর থেকে ধরে ফিরিয়ে নিয়ে যেতে বিশেষ গাড়িও আনা হয়
10196,সালে বিহারের কোশি নদীর তীরবর্তী অঞ্চল পোলিয়ো প্রবণ বলে চিহ্নিত হয়
10197,সামান্য নুন শুকনো লঙ্কা গুঁড়ো গোলমরিচ গুঁড়ো ভাজা জিরে গুঁড়ো দিন
10198,সহসা বুকের মাঝখানে তীর আসিয়া বিঁধিল পান্থ মা বলিয়া ভূতলে পড়িয়া গেল
10199,হৃদয় যতই ব্যথিত থাক কর্মচক্র চলিতেই থাকে
10200,আমি বলতুম আমার অনুগত হবার দরকার নেই আমাকে বাদ দিয়েই তুমি বেরিয়ো
10201,একটি ক্ষুদ্র পুরাতন গল্প গল্প বলিতে হইবে
10202,তার ফলে পার্থিব ঋতু বদলে যেতে পারে
10203,কেন
10204,পৃথিবীতে একটি মহানদীর তীরে একটি মহারণ্য ছিল
10205,তবে এই মরসুমে খুব বেশি তেলের খাবার না খেয়ে পেঁয়াজের রিং দিয়ে এক বার খিচুড়ি খেয়ে দেখতেই পারেন
10206,ফিলিপিন্সের বারোবো থানার পুলিশ ঘটনাটির তদন্ত শুরু করে
10207,যদি নাও থাকে তেমন দাবি যে পদ্ধতিতে তেলঙ্গানা আন্দোলন হল সেই পদ্ধতিতেই তার অভ্যন্তরের ভবিষ্যৎ আন্দোলন জন্ম নেবে এই সম্ভাবনা প্রবল
10208,সঙ্গে মাসে মোটা অঙ্কের সাম্মানিকও দেওয়া হবে তাকে
10209,গল্পটার মধ্যে সুখদুঃখের কথা কী আছে জিজ্ঞাসা করিতেছ
10210,পাড়ায় কে এল কে বা পাড়া ছেড়ে অন্যত্র গেল সে খবর রাখার সময় কারই বা আছে
10211,গত অর্থবর্ষে এ দেশে কোটি কিলোগ্রাম চা উৎপন্ন হয়
10212,এমন সময় পশ্চাৎ হইতে একটি পুরুষের কণ্ঠ গভীর আবেগভরে কম্পিত রুদ্ধস্বরে বলিয়া উঠিল রাজকুমারী
10213,এমন কী সমস্ত ফাইবারও থাকে আলুর খোসার মধ্যেই
10214,সময়ের সঙ্গে কমলেও হারায়নি এ পাড়ার আড্ডা
10215,যে সরোবরে তাঁর শ্বেতপদ্ম ফোটে সেই সরোবরের জলে দেশের কপাল পোড়ানো আগুন নেবে না বরঞ্চ বাড়ে এমনি একটা রব উঠেছিল
10216,কিংবা ধরা যাক এক পরিবারে চার পাঁচ জন সদস্য
10217,আমার নাম গিরীন্দ্র
10218,স্বামীর আধঘণ্টা খাবার সময় অতীত হইয়া গেলে অসহ্য হয় আর স্বামীর আশ্রিতকে দূর করিয়া দিলে তাহার একমুষ্টি অন্ন জুটিবে না এ সম্বন্ধে সে সম্পূর্ণ উদাসীন
10219,আর বুধ শুক্র পৃথিবী ও মঙ্গলের মতো পাথুরে ছোট গ্রহগুলো রয়েছে সূর্যের অনেক বেশি কাছাকাছি
10220,ত্রিপাঠী জানান গ্রামবাসীরা আত্মরক্ষার্থে গুলি চালিয়েছেন
10221,যথেষ্ট আনন্দ এ বার না হলে অন্য বার হবে
10222,অথচ আফিমের দোষটা সরিয়ে দিলে পোস্তর হাজারো গুণ
10223,আর সূর্য জন্মানোর পর ঘন গ্যাসের যে মেঘটুকু পড়ে ছিল তা দিয়েই গড়ে উঠেছিল উরট্ ক্সাউড
10224,এলাকার বাজার বলতে কলেজ স্ট্রিট বাজার
10225,যেখানে তিনি উপস্থিত থাকিতেন সেখানে তিনিই যে সকলের প্রধান-পদে সে সম্বন্ধে তাঁহার নিজের অথবা উপস্থিত কোনো ব্যক্তির মনে কিছুমাত্র সন্দেহ থাকিত না
10226,মমতা বন্দ্যোপাধ্যায় সরকারের দাবি যেমন বন্ধ চা বাগানের জন্য বিশেষ প্যাকেজ তৈরি হয়েছিল এ বারও নাবার্ড ও বাণিজ্যিক ব্যাঙ্কগুলির সঙ্গে আলোচনা করে একই ধরনের প্যাকেজের ঘোষণা হোক
10227,চা শিল্পের জন্য শুল্ক ছাড় অরুণ জেটলির বাজেটে এমনটাই সুখবর থাকতে পারে উত্তরবঙ্গের জন্য
10228,তখন মানুষ চোখ বুজে কাজ করে যায় চোখ খুলে দ্বিধা করে না
10229,বন দফতর পদক্ষেপ না করায় গত কাল সকালে গ্রামসভার তরফে জন যুবককে বাঘ তাড়ানোর ভার দেওয়া হয়
10230,সামনে আরও বেশ কয়েকটা সভার ডাক রয়েছে
10231,কলিকা বললে তা হলে এখনি এখানে রাস্তায় নেমে যাব
10232,কিন্তু পূর্বোপকার স্মরণ করিয়া রাজা তাঁহাকে নির্বাসিত করিয়া দিলেন
10233,এখনও এ পাড়ায় টিকে আছে খেলাধুলোর পরিবেশ
10234,এখানেই শেষ নয়
10235,হে পাঠক হে পাঠিকা তোমরা উঁহাকে জান কি
10236,সেজন্য মাঝে মাঝে তাহার লাঞ্ছনার সীমা থাকিত না
10237,মাছ ছুড়েও লাভ হয়নি
10238,তখন তার অপমানের কথা শুনে মৃণালিনী রাগে জ্বলে উঠল
10239,রাষ্ট্র খুব শক্তিশালী চাইলে সে অনেক কিছুই পারে শেষ পর্যন্ত ভারত পোলিয়ো মুক্ত
10240,এই জায়গায় টি মন্দিরে শিবলিঙ্গের পুজো ভগবান রামের আমল থেকে হয়ে আসছে বলেও দাবি করেছেন তিনি
10241,আর তার ফলেই বার বার অল্পের জন্য বেঁচে গিয়েছে পৃথিবী
10242,সময়ের সঙ্গে পরিবর্তনের হাওয়া এ পাড়াতেও প্রভাব ফেলেছে
10243,হজমের গোলমাল হয় বলে অনেকেই আপেলের কোসা ছাড়িয়ে খান
10244,ওই রক্ষীদের বেতন বাবদ কোটি এবং কমিশন বাবদ ঠিকাদার সংস্থাকে প্রায় লক্ষ টাকা দিতে হয়
10245,দেখিল নিম্নশাখার ফুলগুলি পূজার জন্য নিঃশেষিত হইয়াছে
10246,পাঠক এবং পাঠিকা এবার চিনিলে কি
10247,শীত শেষ চিনার গাছে পাতার শামিয়ানা চেনা তুষার শহর সবুজে ঝকঝকে
10248,হ্যালির ধূমকেতুর মতো যে ধূমকেতুগুলোকে মোটামুটি অল্প সময়ের ব্যবধানে দেখা যায় তারা আসে মূলত ক্যুইপার বেল্ট থেকে
10249,পেঁয়াজের রিংগুলো মিশ্রণে ডুবিয়ে ছাঁকা তেলে ভাজুন
10250,বিনোদার কী দশা হইল সেকথা বর্ণনার অপেক্ষা কল্পনা সহজ
10251,নানান সমীক্ষা অনুযায়ী ইউরোপ আমেরিকার বহু দেশে ক্রিসমাস নিউইয়ারের ছুটির সময়ে আত্মহত্যার হার বেড়ে যায়
10252,একেবারে মমি হয়ে গিয়েছে
10253,এই দীর্ঘাকার কঠিন বিধবাটি বিধাতার কঠোর নিয়মদণ্ডের ন্যায় পল্লীর মস্তকের উপর উদ্যত ছিলেন
10254,তাঁহার গোঁফদাড়ি কামানো চুল ছাঁটা এবং টিকিটি হ্রস্ব
10255,সে সব আজ শুধুই স্মৃতি
10256,রানী বসন্তকুমারী স্বামীকে তর্জন করিয়া বলিলেন কোথাকার এক লক্ষ্মীছাড়া বানর আনিয়া শরীর মাটি করিবার উপক্রম করিয়াছে ওটাকে দূর করিতে পারিলেই আমার হাড়ে বাতাস লাগে
10257,একটু আগেই রাস্তার কলতলায় স্নান সেরে সাফ কাপড় পরে ডান হাতে এক বালতি জল ও বগলে ঝাঁটা নিয়ে রাস্তা দিয়ে সে যাচ্ছিল
10258,তবে যাঁদের উপযুক্ত প্রশিক্ষণ ও বন্দুকের লাইসেন্স আছে তাঁদেরই নেওয়া উচিত
10259,এই ডালিজোড়া জমিদারি এলাকাটি ছিল ঘন জঙ্গলে পূর্ণ
10260,ইনি আক্ষেপ করিতেন পুরাকালের মতো গুরুশিষ্যের সম্বন্ধ এখন আর নাই
10261,তাই জন্যই নিশ্চয় রবীন্দ্রনাথ মাইকেলের পাশে স্বপ্নমোহে ঘাই দিয়ে উঠল মনে অশান্তি জাগিয়ে রাখা সেই পাপহীন কাশ্মীরি মুখটা
10262,পোস্ত বাটার সঙ্গে লেবুর রস মিশিয়ে চুলকানি বা ক্ষতস্থানে লাগালে আরাম হয়
10263,বিশেষত উক্ত নামকরণে তাহার চেহারার প্রতি বিশেষ লক্ষ করা হইতেছে জানিয়া তাহার মর্মযন্ত্রণা আরো দ্বিগুণ বাড়িয়া উঠিল অথচ একান্ত শান্তভাবে সমস্ত সহ্য করিয়া চুপ করিয়া বসিয়া থাকিতে হইল
10264,কেবল কাশ্মীর কেন মণিপুরে দেখেছি অপরূপ লোকতাক হ্রদ আর আজাদ হিন্দ ফৌজের ইতিহাস নিয়ে পূর্বপ্রান্তের জনপদ মৈরাঙএও অবজ্ঞার ঠিক একই রূপ কয়েক দশক জোড়া অর্থনৈতিক শূন্যতা একটিমাত্র এটিএম থেকে টাকা তুলতে দুশো লোকের লাইন অথচ সেনাবাহিনী যেন ফোটা ফুলের মতো ছড়িয়ে আছে যত দূর চোখ যায়
10265,থাবায় তাঁর মাথা বুক পিঠ জখম করে বাঘিনী পালাবার চেষ্টা করে
10266,শুনতে পেলেম মার মার ধ্বনি
10267,সবচেয়ে বড় চ্যালেঞ্জ হল এখনও বহু জায়গায় পোলিয়ো টিকার বিরুদ্ধে অনাস্থা
10268,সেই সঙ্গে কালের গর্ভে উধাও হয়েছে কস্তার সেই স্বাদ
10269,অস্ত্র আইন অনুসারে ব্যক্তিগত মালিকানায় থাকা কোনও আগ্নেয়াস্ত্রের লাইসেন্স যে থানা থেকে নেওয়া হয়েছে ভোটের সময়ে সেই থানায় তা জমা দিতে হয়
10270,দেশপ্রেম জিনিসটার মধ্যে বেশ একটা জাফরানের গুণ আছে বিরিয়ানিতে তার উগ্র মায়াজালে খারাপ হয়ে যাওয়া আলু মাংস বেশ চালিয়ে দেওয়া যায়
10271,পলায়ন করাও আমার কর্তব্য বলিয়া মনে হয় না
10272,এই দেবালয় সম্বন্ধে বিধবার এতই অতিরিক্ত অনাবশ্যক সতর্কতা ছিল যে সাধারণের নিকট তাহা অনেকটা বাতুলতারূপে প্রতীয়মান হইত
10273,শুকনো খোলায় জিরে ভাজুন
10274,কোনো ছোটো মেয়ের ব্যামো হইলে মনে হইত আমার শশীই যেন পল্লীর সমস্ত রুগ্না বালিকার মধ্যে রোগ ভোগ করিতেছে
10275,ঐ যে প্রমত্ত তুরঙ্গমের উপর আরোহণ করিয়া বীরবর পুরদ্বারে প্রবেশ করিতেছেন উঁহাকে চিনিয়াছ কি
10276,ভারত দেশ এ সব আবার কী এখন অঞ্চল গোষ্ঠী স্বার্থ ইত্যাদির দিন
10277,সেই ক্ষুধাতুর নিরন্ন বালকটি বৈদ্যনাথের একমাত্র পুত্র
10278,সঙ্গে থাকছে পেঁয়াজের রিং
10279,রূপের কি কখনো বর্ণনা করা যায়
10280,কেউ বললে কবি কেউ বললে বিপ্লবী বাইরে থেকে নিয়মিত একটি মেয়ে বললে হাইকোর্টের জজ
10281,সেবারও তীব্র খরায় শুকিয়ে গিয়েছিল গোদাবরীর জল
10282,জল দিয়ে একটি মিশ্রণ তৈরি করুন
10283,সীতারাম ঘোষ স্ট্রিটের উপরেই রয়েছে নরেন সেন স্কোয়্যারের মাঠটি এলাকার যোগাযোগ ব্যবস্থা উন্নত
10284,পাশ্চাত্যে কখনও পাউরুটির উপর ছড়ানো থাকে পোস্ত আবার পোস্তর পেস্ট দিয়ে কখনও তৈরি হয় মাফিন
10285,পথ্য বা নিয়মের লেশমাত্র লঙ্ঘন হইলে তাঁহার ক্রোধানল রোগের তাপ অপেক্ষা রোগীকে অধিক উত্তপ্ত করিয়া তুলিত
10286,কিন্তু পূর্বপুরুষরা বিভিন্ন ধরনের প্রাণী মারলেও বাঘ মারার কৃতিত্ব তাঁদের কপালে জোটেনি
10287,যেন এখনই একটা ফোন করতে চায়
10288,ভারত মধ্যে পোলিয়ো মুক্তির পরিকল্পনা করেও পারেনি
10289,আপনার কাছে আমি চিরঋণী আমার পায়ে হাত দিবেন না
10290,পাড়া থেকেই গন্ধবণিক মহাসভা শিক্ষা সমিতি ও দাতব্য সভার সূত্রপাত
10291,পশ্চিমবঙ্গে জঙ্গলমহলে অনেকগুলি দশকে কিছুই তেমন করা হয়ে ওঠেনি বলে আগামী দশকগুলিতেও কিছুই পরিকল্পনা মাফিক করা যাবে না সুলভ খাদ্যশস্য বণ্টন কিংবা সুগম্য স্বাস্থ্যকেন্দ্র তৈরি করা যাবে না এটাই বা কেন ধরে নিতে হবে
10292,এই মিষ্টি নিয়ে বিশদে বলার আগে পঞ্চকোট রাজবংশ সম্পর্কে দু চার কথা বলে নিই
10293,বুধ শুক্র মঙ্গল আর পৃথিবীর মতো পাথুরে গ্রহগুলো আমাদের এই সৌরমণ্ডলে গড়ে উঠেছে বৃহস্পতি শনি ইউরেনাস বা নেপচুনের মতো গ্যাসে ভরা সুবিশাল গ্রহগুলোর জন্মের অনেক অনেক পরে
10294,পাঠক জান কি
10295,সেই রাত্রে বিনোদা স্বামীগৃহ ত্যাগ করিয়া গেল
10296,তবুও ওখানকার মানুষেরও গর্বিত প্রশ্নহীন ভারতীয় হতেই হবে
10297,তা হোক না ও যে মেথর
10298,এবং অবসাদেরও
10299,দুজনকেই দেখতে সুশ্রী সুঠাম দেহ
10300,শুনিয়া হরিহর নিশ্চিন্ত হইয়া ঘরে বসিয়া রহিলেন
10301,ছাদে বসে তার সঙ্গে আলাপ করতে করতে এক একদিন রাত্তির দুটো হয়ে যায়
10302,শুক্রবার তাই খালি হাতেই ফিরতে হল বিহার বন দফতরের সদস্যদের
10303,বোন বন্ধুবান্ধব নিয়ে চুটিয়ে মজা করে
10304,শুক্রবার থেকে শতপর্ণার আইএসসি পরীক্ষা শুরু হয়েছে
10305,সেই বিবর্তন আরও এগিয়ে যেতে পেরেছে
10306,এখন অন্যরাও এসেছেন
10307,চিত্রগুপ্তের কাছে জবাবদিহি করবার পূর্বে আগে ভাগে কবুল করলে অপরাধের মাত্রাটা হাল্কা হবে
10308,পল্লীর সকলের সঙ্গেই তাহার যোগ ছিল অথচ তাহার মতো অত্যন্ত একাকিনী কেহ ছিল না
10309,ওটা তো ছাড়িয়া দিতে হয়
10310,উৎসবের মরসুম মানেই আনন্দের ঋতু
10311,ধানের খেত এবং গৃহের অঙ্গনপার্শ্ব দিয়া নৌকায় করিয়া ফিরিতে হয়
10312,সে যে কতদূর নিরপরাধ কাহাকেও বুঝাইতে চেষ্টা করিল না নতমুখে সমস্ত সহিয়া গেল
10313,তবে যে কোনও সমস্যায় পাড়ার যুবকেরা এগিয়ে এসে সাহায্য করে
10314,এখন কলকাতা পুরসভায় প্রায় সাড়ে তিন হাজার নিরাপত্তারক্ষী আছেন
10315,ইনিই সেই ললিতসিংহ
10316,বেড়ানোর চার দিন সঙ্গে যে গাড়িটা ছিল তার চালক বরফঝড়ের মধ্যে কোনওক্রমে এয়ারপোর্ট পৌঁছে দিয়ে বুকে জড়িয়ে ধরে উর্দুতে বলল আবার আসবেন কিন্তু এতেই আমাদের যেটুকু যা চলে
10317,সেই অরণ্যে এবং সেই নদীতীরে এক কাঠঠোকরা এবং একটি কাদাখোঁচা পক্ষী বাস করিত
10318,মারাঠি গুজরাতিরা বিভিন্ন রকমের কোর্মা বানানো ছাড়াও বেশ কিছু মিষ্টিতে পোস্তর ব্যবহার করে
10319,কলিকা বললে দেখো খদ্দর পরার শুচিতা যেদিন গঙ্গাস্নানের মতোই দেশের লোকের সংস্কারে বাঁধা পড়ে যাবে সেদিন দেশ বাঁচবে
10320,স্বাধীন ভারতের সুন্দরতম অঞ্চলটিতে কী অদ্ভুত দারিদ্র হতশ্রী বাড়িঘর ভাঙাচোরা কলেজ হাসপাতাল অনুপস্থিত নাগরিক জীবন দুরবিন দিয়ে খুঁজতে হওয়া কাজের সুযোগ
10321,এটা আমারই স্বভাবের দোষ
10322,পৃথিবীর কপাল ভাল বলতে হবে এই জন্যেও যে আমাদের সৌরমণ্ডলে গ্যাসে ভরা সুবিশাল গ্রহগুলো সূর্যের চেয়ে রয়েছে অনেক অনেক দূরে
10323,কিন্তু ছি ছি সেনাপতি তাই বলিয়া কি সন্ধ্যার অন্ধকারে চোরের মতো রাজান্তঃপুরের উদ্যানপ্রাচীর লঙ্ঘন করিতে হয়
10324,সেই প্রশ্নের উত্তর হাতড়াচ্ছে এনটিসিএ
10325,নিশ্চয় যেখানে নির্বাসিত হইত সেখানে আর একটা চাকরির চেষ্টা দেখিত কিম্বা একটা নূতন খবরের কাগজ বাহির করিত
10326,ভারতে এখনও শতাংশ মানুষের নাগালে উন্নত পয়ঃপ্রণালী নেই
10327,একই ঘটনা ঘটে ইয়েমেনএ
10328,জার্মানিতে মানফ্রেডকে চিনতেন জানতেন এমন নাবিকরা বলছেন মানফ্রেড দক্ষ নাবিক
10329,কালক্রমে দৈবযোগে পৃথিবীতে কীট দুষ্প্রাপ্য হইয়া উঠিল
10330,তেলঙ্গানাকে বাধ্য হয়েই সে দিন অন্ধ্রপ্রদেশের অন্তর্ভুক্ত করতে হয়েছিল আবার বাধ্য হয়েই আজ তেলঙ্গানাকে অন্ধ্র থেকে মুক্ত করতে হল এর মধ্যে তাই একটা ঐতিহাসিক ন্যায্যতা দেখা সম্ভব
10331,শীত পাততাড়ি গুটিয়েছে কবেই
10332,হঠাৎ একসময় তাহার উদ্দাম যৌবন বিনয়ের সমস্ত বাঁধ ভাঙিয়া ফেলিল হঠাৎ বিনোদার হাত দুটি চাপিয়া ধরিয়া সবলে তাহাকে টানিয়া লইয়া চুম্বন করিল
10333,তখন অতি ধীরে ধীরে সাবধানে মঞ্চে আরোহণ করিল
10334,মেথরকে গাড়িতে নিতে পারব না
10335,পুজোর সময় উত্তর কলকাতার বাড়ির বারান্দায় সন্ধ্যা থেকে বসে থাকতেন
10336,একদিন জমিদারি কাছারিতে ঢাকঢোল বাজিয়া উঠিল পাঁঠা কাটিয়া নায়েবের বাসায় কালীপূজা হইবে
10337,কাছেই কলেজ স্কোয়্যারে হয় পাখির প্রদর্শনী
10338,সে জয়কালীর কনিষ্ঠ ভ্রাতুষ্পুত্র নলিন
10339,তাহার পরদিন স্কুলে আসিয়া চৌকিতে বসিয়া পণ্ডিতমহাশয় দ্বারের দিকে চাহিয়া দেখিলেন একখানি স্লেট ও মসীচিহ্নিত কাপড়ের থলির মধ্যে পড়িবার বইগুলি জড়াইয়া লইয়া অন্যদিনের চেয়ে সংকুচিতভাবে আশু ক্লাসে প্রবেশ করিতেছে
10340,এ পদ আমাকে কে দিল বলা কঠিন
10341,আমার প্রকৃতি অত্যন্ত ঢিলে কিছুই বেশি করে চেপে ধরি নে
10342,কালের প্রভাবে সকলেই যেন আত্মকেন্দ্রিক নিজেদের নিয়ে থাকতে ভালবাসেন
10343,কিছুদিন সদ্যশোকের দুঃসহ বেদনায় নির্জন সন্ধ্যায় এবং অনিদ্র রাত্রে কেবলই মনে হইত আমার কোমলহৃদয়া মেয়েটি সংসারলীলা শেষ করিয়াও তাহার বাপের নিষ্ঠুর দুষ্কর্মে পরলোকে কোনোমতেই শান্তি পাইতেছে না
10344,কথাটা এই তাহার বিধবা কন্যা রাত্রে হঠাৎ মারা গিয়াছে শত্রুপক্ষ গর্ভপাতের অপবাদ দিয়া দারোগার কাছে বেনামি পত্র লিখিয়াছে
10345,বলিতে পার কি পাঠক
10346,বলিয়া হরিনাথের চটিজুতা খুলিয়া লইয়া নিজের মাথায় মারিতে লাগিলাম বৃদ্ধ ব্যস্তসমস্ত হইয়া আমার হাত হইতে জুতা কাড়িয়া লইল
10347,রানী রাজাকে ধরিয়া পড়িলেন সন্ধ্যাবেলায় তাঁহাদের সংগীতালোচনার সময় পাশের ঘরে থাকিয়া পর্দার আড়ালে তিনি গান শুনিবেন বিপিনের গান তাঁহার ভালো লাগে
10348,না আছে নিজস্ব বন্দুক না আছে লাইসেন্স
10349,বছরের মানফ্রেড ঠিক কত দিন আগে কী ভাবে মারা গিয়েছেন সেটা এখনও স্পষ্ট নয়
10350,আর অন্য শিক্ষামন্ত্রী যিনি উচ্চশিক্ষার চৌকাঠও মাড়াননি তাঁর কাছেও শিক্ষার নিদান সরল ও সোজা ফুট
10351,শাখাসীন কাঠঠোকরা নদীতটস্থ কাদাখোঁচাকে বলিল ভাই কাদাখোঁচা অনেকে এই অরণ্যকে সতেজ শোভন বলিয়া বিশ্বাস করে কিন্তু আমি বলিতেছি ইহা একেবারে অন্তঃসারবিহীন
10352,তাই আমিও একসহস্র একতম বার কলিকাকে খোঁটা দিয়ে বললুম মেয়েরা বিধিদত্ত চোখটার উপর কালাপেড়ে মোটা ঘোমটা টেনে আচারের সঙ্গে আঁচলের গাঁট বেঁধে চলে
10353,অনতিকাল পরেই সুরাপান উন্মত্ত ডোমের দল মন্দিরের দ্বারে উপস্থিত হইয়া তাহাদের বলির পশুর জন্য চীৎকার করিতে লাগিল
10354,পরেশ পশ্চিমে একটি ক্ষুদ্র শহরে ওকালতি করিতেন
10355,প্রবল অশান্তির ঘুম বোঝাই যাচ্ছে
10356,অমুক ছুটিতে বৃদ্ধ বৃদ্ধাদের মন ভাল রাখতে গানের ফাংশনে নিয়ে যাওয়া হল
10357,রবীন্দ্রনাথ জাতীয়তাবাদের বিপদ আর অন্যায়ের বিরুদ্ধে কী সব লিখে বসে আছেন তাও আবার ফেসবুকে নয় ছাপানো বইয়ে
10358,এইরূপে বিপিনের ভাগ্যে সদর হইতে আদরবাড়িতে লাগিল অন্দর হইতে অবজ্ঞার সীমা রহিল না
10359,বিনোদা শয়নকক্ষের দ্বার রোধ করিয়া বিছানায় শুইয়া পড়িল তাহার অশ্রুহীন চক্ষু মধ্যাহ্নের মরুভূমির মতো জ্বলিতেছে
10360,এমন সময় এই জায়গাটাতে এসে ঠেকে গেল
10361,মধ্যবয়স্ক দম্পতি ভাবছেন সবাইকে নিয়ে শান্তিনিকেতন ঘুরে আসবেন তাঁদের বয়স্ক বাবা মায়ের ইচ্ছা এক বার দেশের বাড়ি গেলে হয়
10362,এলাকার মৎস্যজীবীদের জালে ঘড়িয়ালটি আটকে যায়
10363,পুঁচকি আসলে একটি ঘড়িয়াল
10364,তেমনি এমন পাপও ঘটে যাকে আমিই চিনি পাপ বলে আর কেউ না
10365,দ্রুতপদে স্বামীগৃহে গেল
10366,হুএর তরফে এই দুই রাজ্যের প্রতিটি স্পর্শকাতর বুথের দায়িত্বে রাখা হত এক জন আঞ্চলিক কোঅর্ডিনেটর
10367,ঝি প্যারী চোর সাব্যস্ত হইয়া জেলে গেল
10368,রাজা কথাটা কানেই তুলিলেন না
10369,নায়েব তাহার প্রভুকে জানাইল হরিহরই প্রজাদিগকে প্রশ্রয় দিয়া বিদ্রোহী করিয়া তুলিয়াছে
10370,তার বিবর্তন সম্ভব হয়েছে
10371,প্রথম প্রথম স্বামীর এইরূপ আকস্মিক অভ্যুদয়ের কারণ গৌরী ঠিক বুঝিতে পারিত না
10372,সেই ভিড়ে কারও সঙ্গে বা কিছুর সঙ্গে তাদের ঠেকাঠেকি হয়ে থাকবে
10373,জানি আপসে আমরা দুজনে যে সব তর্ক শুরু করি কলিকা সেগুলিকে নিয়ে ধোবার বাড়ির কাপড়ের মতো আছড়িয়ে কচলিয়ে আনে তার বাহিরের বন্ধুমহল থেকে
10374,পারিজাত বন্দ্যোপাধ্যায় সাড়ে চার বছরের রুখসার এখন দিব্যি হেঁটে হেঁটে স্কুলে যায়
10375,পা এখন আগের মতো সরুও নেই
10376,ইহার মধ্যে দুঃখের কথাও আছে সুখের কথাও আছে
10377,মনোহর না হইলেও সংক্ষেপবশত শুনিতে ধৈর্যচ্যুতি না হইবার সম্ভাবনা
10378,বেগম আখতার থেকে রাইচাঁদ বড়াল ভীষ্মদেব চট্টোপাধ্যায় কানন দেবী কে না আসতেন সেখানে
10379,ছাত্রবৃত্তি ক্লাসের দুই তিন শ্রেণী নীচে আমাদের পণ্ডিত ছিলেন শিবনাথ
10380,স্ত্রীর কলিকা নামটি শ্বশুর দত্ত আমি ওর জন্য দায়ী নই
10381,ঘোর অরণ্য সূর্য অস্তপ্রায়
10382,আমাদের নরদেবগণ চান অনেক বেশি এবং আমাদের তিলমাত্র ত্রুটি হইলে চক্ষুদুটো রক্তবর্ণ করিয়া তাড়া করিয়া আসেন তখন তাঁহাদিগকে কিছুতেই দেবতার মতো দেখিতে হয় না
10383,ভাজা জিরে বেটে বা গুঁড়িয়ে নিন
10384,মধ্যমগ্রামের মুখোপাধ্যায় পরিবারে সাফল্য আজ সব ক্ষেত্রেই
10385,এখানেই আমার বেড়ে ওঠা
10386,তবে ভারতের মতো বিপুলায়তন দেশ একশো কোটির উপর জনসংখ্যা অশিক্ষা কুসংস্কার ধর্মীয় অপপ্রচার এবং রাজনৈতিক নিস্পৃহতার ঐতিহ্যের মধ্যে শেষ পর্যন্ত পোলিয়ো মুক্তি সম্ভব হল এতে হু ইউনিসেফ উচ্ছ্বসিত
10387,কোচবিহারের ডিএফও রথীন রায় বলেন আমরা সব রকম সাহায্য করেছি
10388,কে কার মন রাখবে
10389,আজ আমরা প্রদেশ গঠন বা পুনর্গঠনের প্রশ্নে যে সব যুক্তি শুনি সেগুলি সবই ব্যবহারিক
10390,মেয়ে নিনাও এখন নাবিকের কাজ করেন
10391,খোসাতেই নাকি তার বেশির ভাগ পুষ্টিগুণ রয়েছে
10392,সেই আত্মপরিচয়ের রাজনীতিরই স্বাভাবিক পরিণতি ছোট রাজ্যের দাবি
10393,দুই দাদা বৃহস্পতি আর শনি এই সবের হাত থেকেই পৃথিবীকে বাঁচিয়ে চলেছে
10394,ফিরে ভাবা দরকার ঠিক কী ভেবে খণ্ডের সঙ্গে বড় দেশটার কথাও ভাবতে বলছিলেন নেহরুরা
10395,রোগীর সেবায় তিনি সিদ্ধহস্ত ছিলেন কিন্তু রোগী তাঁহাকে যমেরই মতো ভয় করিত
10396,নায়েব আসিয়া পরম আড়ম্বরে ভট্টাচার্যের পদধূলি লইয়া গায়ে মাথায় মাখিল এবং আপিল রুজু করিল
10397,পরদিন হইতে বিপিনের আহারাদির সুব্যবস্থা হইল
10398,কিন্তু সেনাপতির মতো মহৎ লোক যাহারা উপন্যাসে সুলভ এবং পৃথিবীতে দুর্লভ তাহারা চাকরিও করে না খবরের কাগজও চালায় না
10399,ভিতরটা দলামচা করে ওঠে রাগ হয় কান্না পায়
10400,পূজারি ব্রাক্ষ্মণ লাঠি হস্তে তাড়া করিয়া আসিল
10401,আমাদের বাড়ির পিছনেই প্যারীচরণ দাসের ঠাকুরবাড়ি
10402,কিন্তু তাহার শিরোভূষণ পত্রখানি পাষণ্ডহস্তস্পর্শে লাঞ্ছিত হইতেছে এ কল্পনাও তাহার সহ্য হইল না
10403,এক সময় পাড়ায় নতুন কেউ এলে পুরনোরা গিয়ে আলাপ করতেন
10404,আগেকার মতোই ক্ষুধার আহার পরিধানের বস্ত্র এমন কি চুলার কাষ্ঠ এবং জুতার ফিতা পর্যন্ত পরিপূর্ণ উদ্যমে নিয়মিত সংগ্রহ করিয়া ফিরিতে হয়
10405,সেখানে অমিতবাবু এই দাবি তোলেন
10406,গৌরী কহিল আমার খুশি
10407,প্রচুর সাইবার কুলি তৈরি হবে দেশভক্ত নেতারা তাদের দরকারে অদরকারে পাশে পাবেন
